objectid,event_time_utc,event_time_epoch_ms,city_twp,display_address,incident_type,agency_type,agency_name,latitude,longitude
2,2026-08-01T23:55:00Z,1785628500000,WALKER,300 BLOCK OF MANZANA CT NW,LOUD NOISE,Police,WALKER POLICE,,
1,2026-08-01T23:57:00Z,1785628620000,PLAINFIELD TWP,6500 BLOCK OF BODIE ST NE,MEDICAL EMERGENCY,Fire,PLAINFIELD TWP FIRE,,
14,2026-08-01T23:58:00Z,1785628680000,BYRON TWP,M-6 EB TO US-131 NB RAMP,VEHICLE CRASH,Police,KENT CO SHERIFF,42.8471649,-85.67611713
12,2026-08-01T23:58:00Z,1785628680000,WALKER,I-96 EB TO US-131 NB RAMP,VEHICLE CRASH,Police,WALKER POLICE,43.01982502,-85.66691068
1,2026-08-02T00:11:00Z,1785629460000,PLAINFIELD TWP,6500 BLOCK OF BODIE ST NE,GENERAL ASSIST,Police,KENT CO SHERIFF,,
3,2026-08-02T00:12:00Z,1785629520000,WYOMING,2000 BLOCK OF ARNOLD AVE SW,MISSING PERSON,Police,WYOMING POLICE,,
2,2026-08-02T00:12:00Z,1785629520000,WYOMING,4500 BLOCK OF CLYDE PARK AVE SW,WELFARE CHECK,Police,WYOMING POLICE,,
1,2026-08-02T00:15:00Z,1785629700000,GRANDVILLE,3300 BLOCK OF VINE ST SW,DISORDERLY PERSON,Police,GRANDVILLE POLICE,,
1,2026-08-02T00:16:00Z,1785629760000,WYOMING,2700 BLOCK OF INGERSOLL ST SW,MEDICAL EMERGENCY,Fire,WYOMING FIRE,,
2,2026-08-02T00:23:00Z,1785630180000,KENTWOOD,4400 BLOCK OF EASTERN AVE SE,WELFARE CHECK,Police,KENTWOOD POLICE,,
2,2026-08-02T00:25:00Z,1785630300000,WYOMING,2700 BLOCK OF WOODLAKE RD SW,MEDICAL EMERGENCY,Fire,WYOMING FIRE,,
1,2026-08-02T00:25:00Z,1785630300000,WYOMING,2700 BLOCK OF WOODLAKE RD SW,BROADCAST,Police,WYOMING POLICE,,
2,2026-08-02T00:27:00Z,1785630420000,ALPINE TWP,4200 BLOCK OF ALPENHORN DR NW,PARKING VIOLATION,Police,KENT CO SHERIFF,,
1,2026-08-02T00:36:00Z,1785630960000,KENTWOOD,3200 BLOCK OF 28TH ST SE,WELFARE CHECK,Police,KENTWOOD POLICE,,
1,2026-08-02T00:45:00Z,1785631500000,KENTWOOD,200 BLOCK OF FESCUE ST SE,GENERAL ASSIST,Police,KENTWOOD POLICE,,
1,2026-08-02T01:09:00Z,1785632940000,GAINES TWP,7200 BLOCK OF OLD LANTERN DR SE,BURGLAR ALARM,Police,KENT CO SHERIFF,,
4,2026-08-02T01:12:00Z,1785633120000,ADA TWP,7800 BLOCK OF LEONARD ST NE,LOUD NOISE,Police,KENT CO SHERIFF,,
3,2026-08-02T01:16:00Z,1785633360000,WYOMING,900 BLOCK OF BLANCHARD ST SW,VEHICLE CRASH,Police,WYOMING POLICE,,
2,2026-08-02T01:17:00Z,1785633420000,WYOMING,900 BLOCK OF BLANCHARD ST SW,VEHICLE CRASH,Police,WYOMING FIRE,,
1,2026-08-02T01:24:00Z,1785633840000,EAST GRAND RAPIDS,800 BLOCK OF LAKESIDE DR SE,PROPERTY CHECK,Police,EAST GRAND RAPIDS POLICE,,
